location
Oxford
Pasadena
Cambridge
Stanford
Cambridge
Cambridge
Chicago
Kensington
Philadelphia
Berkeley
Los Angeles
Ithaca
Ann Arbor
Evanston
Seattle
Pittsburgh
New York
Atlanta
Austin
Urbana
Madison
St. Louis
Chapel Hill
Manchester
Boston
Los Angeles
Columbus
Coventry
Minneapolis
Atlanta
East Lansing
Bristol
Prince George's County
Glasgow
North West
Charlottesville
Birmingham
Pittsburgh
Sheffield
Cleveland
Southampton
York
Durham
Bloomington
Lancaster
Medford
Exeter
Brighton
Nottingham
Leeds
Liverpool
Leicester
Aberdeen
New Brunswick
Birmingham
Boston
College Station
Santa Cruz
Norwich
Washington DC
St. Andrews
Honolulu
Washington
Boston
Newcastle upon Tyne
Reading
Tampa
Salt Lake City
Williamsburg
Bath
Brighton
Buffalo
Cincinnati
Newark
Colchester
Tallahassee
Fairfax
Edinburgh
Chicago
Eugene
Portland
Egham
Guildford
Syracuse
Cambridge
Fort Lauderdale
Chicago
Philadelphia
New Orleans
Fairbanks
Bloomsbury
Uxbridge
Merced
Worcester
Storrs
Denver
Hempstead
Ames
Loughborough
Newcastle 
Albany
Pullman
Aberystwyth
Tuscaloosa
Washington
Poole


Philadelphia

Atlanta
Houston


Liverpool
Barnet

St. Louis
Lincoln
Socorro

Portsmouth
Troy
Camden


Glasgow
San Antonio
Tulsa
Huntsville
Birmingham
Binghamton
Miami
Moscow
Rolla
Omaha
Milton Keynes
Plymouth
Kingston
San Diego
Milwaukee
Brighton
Orlando
Clemson
Omaha
Leicester
Greenwich
Hatfield
Kent
Bethlehem
Lincoln
Baltimore
Bozeman
Las Vegas
Las Cruces
Greensboro
Nottingham
Oxford
Portland
Vermillion
Hoboken
Arlington
Lubbock
Toledo
Coleraine
Bristol
Bellingham
Morgantown
Worcester
Luton
Birmingham
Bradford
Preston
Derby
Edinburgh
Daytona Beach
Melbourne
Kingston upon Thames
Leeds
Ruston
Milwaukee
New York
Rochester
Roehampton
Salford
Sheffield
Stoke on Trent
Middlesbrough
Wolverhampton
Long Beach
Canterbury
Chester
Ormskirk
Wilmington
Jacksonville
Rochester
Aberdeen
San Marcos
