name
University of Oxford
California Institute of Technology
University of Cambridge
Stanford University
Massachusetts Institute of Technology
Princeton University
Harvard University
Yale University
University of Chicago
Imperial College London
University of Pennsylvania
Johns Hopkins University
University of California Berkeley
UCL
Columbia University
University of California Los Angeles
Cornell University
Duke University
University of Michigan Ann Arbor
Northwestern University
University of Washington
Carnegie Mellon University
London School of Economics and Political Science
New York University
University of Edinburgh
University of California San Diego
Kings College London
Georgia Institute of Technology
University of Texas at Austin
University of Illinois at UrbanaChampaign
University of Wisconsin Madison
Washington University in St Louis
Brown University
University of North Carolina at Chapel Hill
University of California Davis
University of Manchester
University of California Santa Barbara
Boston University
University of Southern California
Ohio State University
University of Warwick
Penn State
University of Minnesota
Emory University
Michigan State University
University of Bristol
Purdue University West Lafayette
University of Maryland College Park
Dartmouth College
University of California Irvine
University of Glasgow
Georgetown University
University of Arizona
Rice University
University of Virginia
Queen Mary University of London
University of Birmingham
University of Pittsburgh
Vanderbilt University
University of Sheffield
Case Western Reserve University
University of Southampton
University of Colorado Boulder
University of York
Durham University
Indiana University
Lancaster University
Tufts University
University of Exeter
University of Sussex
University of Nottingham
Arizona State University 
University of Leeds
University of Notre Dame
University of Liverpool
University of Leicester
University of Aberdeen
Rutgers
University of Alabama at Birmingham
Northeastern University
University of Rochester
University of Florida
Texas AandM University
University of California Santa Cruz
University of East Anglia
Cardiff University
George Washington University
University of St Andrews
Brandeis University
University of Dundee
University of Hawaii 
Howard University
University of Iowa
University of Massachusetts
University of Miami
Newcastle University
Queens University Belfast
University of Reading
St Georges University of London
University of South Florida
University of Utah
Virginia Polytechnic Institute and State University
Wake Forest University
William and Mary
University of Bath
Brighton and Sussex Medical School
University at Buffalo
University of CaliforniaRiverside
University of Cincinnati
University of Delaware
University of Essex
Florida State University
George Mason University
HeriotWatt University
University of Illinois at Chicago
University of Oregon
Oregon Health and Science University
Royal Holloway University of London
University of Surrey
Swansea University
Syracuse University
Anglia Ruskin University
Boston College
Colorado School of Mines
University of New Mexico
North Carolina State University
Nova Southeastern University
Rush University
Stony Brook University
Temple University
The University of TennesseeKnoxville
University of Texas at Dallas
Tulane University
University of Alaska Fairbanks
Birkbeck University of London
Brunel University London
University of CaliforniaMerced
Clark University
University of Connecticut
University of Denver
GoldsmithsUniversity of London
Hofstra University
Iowa State University
University of Kent
Loughborough University
Northumbria University
Oregon State University
State University of New York Albany
University of Stirling
Washington State University
Wayne State University
Aberystwyth University
University of Alabama
American University
Bangor University
Bournemouth University
CityUniversity of London
Colorado State UniversityFort Collins
Drexel University
University of Georgia
Georgia State University
University of Houston
University of Kansas
University of Kentucky
Liverpool John Moores University
Middlesex University
University of MissouriColumbia
University of MissouriSt Louis
University of NebraskaLincoln
New Mexico Institute of Mining and Technology
Oklahoma State University
University of Portsmouth
Rensselaer Polytechnic Institute
Royal Veterinary College
SOAS University of London
University of South CarolinaColumbia
University of Strathclyde
University of Texas at San Antonio
University of Tulsa
University of Alabama in Huntsville
Aston University
Binghamton University State University of New York
Florida International University
University of Hull
University of Idaho
Keele University
Louisiana State University
Missouri University of Science and Technology
University of Nebraska Medical Center
New Jersey Institute of Technology
The Open University
University of Plymouth
University of Rhode Island
San Diego State University
University of the West of Scotland
University of Wisconsin Milwaukee
University of Arkansas
Auburn University
Baylor University
University of Brighton
University of Central Florida
Clemson University
Coventry University
Creighton University
De Montfort University
Glasgow Caledonian University
University of Greenwich
University of Hertfordshire
University of Huddersfield
Kansas State University
Kent State University
Lehigh University
University of Lincoln
Manchester Metropolitan University
University of Maryland Baltimore County
Montana State University
University of NevadaLas Vegas
New Mexico State University
University of North Carolina at Greensboro
Nottingham Trent University
Ohio University 
Old Dominion University
Oxford Brookes University
Portland State University
University of South Dakota
Stevens Institute of Technology
University of Texas at Arlington
Texas Tech University
University of Toledo
Ulster University
University of the West of England
Western Washington University
University of Westminster
West Virginia University
Worcester Polytechnic Institute
University of Bedfordshire
Birmingham City University
University of Bradford
Cardiff Metropolitan University
University of Central Lancashire
University of Derby
University of East London
Edinburgh Napier University
EmbryRiddle Aeronautical University
Florida Atlantic University
Florida Institute of Technology
Kingston University
Leeds Beckett University
Louisiana Tech University
Marquette University
Mississippi State University
The New School
Rochester Institute of Technology
University of Roehampton
University of Salford
Sheffield Hallam University
Staffordshire University
Teesside University
University of Texas at El Paso
University of Wolverhampton
California State University Long Beach
Canterbury Christ Church University
University of Chester
Edge Hill University
London South Bank University
University of North Carolina Wilmington
University of North Florida
Oakland University
Robert Gordon University
University of South Wales
Texas State University
